628,10000
629,10000
630,10000
631,10000
632,10000
633,10000
634,10000
635,10000
636,10000
637,10000
638,10000
639,10000
640,10000
641,10000
642,10000
643,10000
644,10000
645,10000
646,10000
647,10000
648,10000
649,10000
650,10000
651,10000
652,10000
653,10000
654,10000
655,10000
656,10000
657,10000
658,10000
659,10000
660,10000
661,10000
662,10000
663,10000
664,10000
665,10000
666,10000
667,10000
668,10000
669,10000
670,10000
671,10000
672,10000
673,10000
674,10000
675,10000
676,10000
677,10000
678,10000
679,10000
680,10000
681,10000
682,10000
683,10000
684,10000
685,10000
686,10000
687,10000
688,10000
689,10000
690,10000
691,10000
692,10000
693,10000
694,10000
695,10000
696,10000
697,10000
698,10000
699,10000
700,10000
701,10000
702,10000
703,10000
704,10000
705,10000
706,10000
707,10000
708,10000
709,10000
710,10000
711,10000
712,10000
713,10000
714,10000
715,10000
716,10000
717,10000
718,10000
719,10000
720,10000
721,10000
722,10000
723,10000
724,10000
725,10000
726,10000
727,10000
